#SampleID	name	round
#q2:types	categorical	categorical
LID_100036	LID_100036	novaseq2
LID_100037	LID_100037	novaseq2
LID_100038	LID_100038	novaseq2
LID_100039	LID_100039	novaseq2
LID_100048	LID_100048	novaseq2
LID_100052	LID_100052	novaseq2
LID_100061	LID_100061	novaseq2
LID_100065	LID_100065	novaseq2
LID_100066	LID_100066	novaseq2
LID_100068	LID_100068	novaseq2
LID_100069	LID_100069	novaseq2
LID_100071	LID_100071	novaseq2
LID_100078	LID_100078	novaseq2
LID_100079	LID_100079	novaseq2
LID_100080	LID_100080	novaseq2
LID_100081	LID_100081	novaseq2
LID_100086	LID_100086	novaseq2
LID_100087	LID_100087	novaseq2
LID_100090	LID_100090	novaseq2
LID_100092	LID_100092	novaseq2
LID_100100	LID_100100	novaseq2
LID_100103	LID_100103	novaseq2
LID_100105	LID_100105	novaseq2
LID_100110	LID_100110	novaseq2
LID_100111	LID_100111	novaseq2
LID_100113	LID_100113	novaseq2
LID_100121	LID_100121	novaseq2
LID_100122	LID_100122	novaseq2
LID_100123	LID_100123	novaseq2
LID_100124	LID_100124	novaseq2
LID_100125	LID_100125	novaseq2
LID_100127	LID_100127	novaseq2
LID_100194	LID_100194	novaseq2
LID_100195	LID_100195	novaseq2
LID_100202	LID_100202	novaseq2
LID_100205	LID_100205	novaseq2
LID_100208	LID_100208	novaseq2
LID_100216	LID_100216	novaseq2
LID_100217	LID_100217	novaseq2
LID_100218	LID_100218	novaseq2
LID_100220	LID_100220	novaseq2
LID_100222	LID_100222	novaseq2
LID_100223	LID_100223	novaseq2
LID_100225	LID_100225	novaseq2
LID_100227	LID_100227	novaseq2
LID_100229	LID_100229	novaseq2
LID_100230	LID_100230	novaseq2
LID_100232	LID_100232	novaseq2
LID_100233	LID_100233	novaseq2
LID_100239	LID_100239	novaseq2
LID_100240	LID_100240	novaseq2
LID_100249	LID_100249	novaseq2
LID_100252	LID_100252	novaseq2
LID_100254	LID_100254	novaseq2
LID_100255	LID_100255	novaseq2
LID_100263	LID_100263	novaseq2
LID_100271	LID_100271	novaseq2
LID_100273	LID_100273	novaseq2
LID_100274	LID_100274	novaseq2
LID_100277	LID_100277	novaseq2
LID_100297	LID_100297	novaseq2
LID_100308	LID_100308	novaseq2
LID_100549	LID_100549	novaseq2
LID_100551	LID_100551	novaseq2
LID_100987	LID_100987	novaseq2
LID_101010	LID_101010	novaseq2
LID_101018	LID_101018	novaseq2
LID_101024	LID_101024	novaseq2
LID_101031	LID_101031	novaseq2
LID_101033	LID_101033	novaseq2
LID_101044	LID_101044	novaseq2
LID_101046	LID_101046	novaseq2
LID_101057	LID_101057	novaseq2
LID_101058	LID_101058	novaseq2
LID_101067	LID_101067	novaseq2
LID_101556	LID_101556	novaseq2
LID_101557	LID_101557	novaseq2
LID_101558	LID_101558	novaseq2
LID_101559	LID_101559	novaseq2
LID_101560	LID_101560	novaseq2
LID_101561	LID_101561	novaseq2
LID_101562	LID_101562	novaseq2
LID_101563	LID_101563	novaseq2
LID_101564	LID_101564	novaseq2
LID_101565	LID_101565	novaseq2
LID_101566	LID_101566	novaseq2
LID_101568	LID_101568	novaseq2
LID_101569	LID_101569	novaseq2
LID_101570	LID_101570	novaseq2
LID_101571	LID_101571	novaseq2
LID_101572	LID_101572	novaseq2
LID_101573	LID_101573	novaseq2
LID_101574	LID_101574	novaseq2
LID_101575	LID_101575	novaseq2
LID_101576	LID_101576	novaseq2
LID_101577	LID_101577	novaseq2
LID_101578	LID_101578	novaseq2
LID_101579	LID_101579	novaseq2
LID_101580	LID_101580	novaseq2
LID_101581	LID_101581	novaseq2
LID_101582	LID_101582	novaseq2
LID_101583	LID_101583	novaseq2
LID_101584	LID_101584	novaseq2
LID_101585	LID_101585	novaseq2
LID_101586	LID_101586	novaseq2
LID_101587	LID_101587	novaseq2
LID_101588	LID_101588	novaseq2
LID_101589	LID_101589	novaseq2
LID_101590	LID_101590	novaseq2
LID_101591	LID_101591	novaseq2
LID_101592	LID_101592	novaseq2
LID_101593	LID_101593	novaseq2
LID_101594	LID_101594	novaseq2
LID_101595	LID_101595	novaseq2
LID_101596	LID_101596	novaseq2
LID_101597	LID_101597	novaseq2
LID_101598	LID_101598	novaseq2
LID_101599	LID_101599	novaseq2
LID_101600	LID_101600	novaseq2
LID_101601	LID_101601	novaseq2
LID_101602	LID_101602	novaseq2
LID_101603	LID_101603	novaseq2
LID_101604	LID_101604	novaseq2
LID_101605	LID_101605	novaseq2
LID_101606	LID_101606	novaseq2
LID_101607	LID_101607	novaseq2
LID_101608	LID_101608	novaseq2
LID_101609	LID_101609	novaseq2
LID_101610	LID_101610	novaseq2
LID_101611	LID_101611	novaseq2
LID_101612	LID_101612	novaseq2
LID_101613	LID_101613	novaseq2
LID_101614	LID_101614	novaseq2
LID_101615	LID_101615	novaseq2
LID_101616	LID_101616	novaseq2
LID_101617	LID_101617	novaseq2
LID_101618	LID_101618	novaseq2
LID_101619	LID_101619	novaseq2
LID_101620	LID_101620	novaseq2
LID_101621	LID_101621	novaseq2
LID_101622	LID_101622	novaseq2
LID_101623	LID_101623	novaseq2
LID_101624	LID_101624	novaseq2
LID_101625	LID_101625	novaseq2
LID_101626	LID_101626	novaseq2
LID_101627	LID_101627	novaseq2
LID_101628	LID_101628	novaseq2
LID_101629	LID_101629	novaseq2
LID_101630	LID_101630	novaseq2
LID_101631	LID_101631	novaseq2
LID_101632	LID_101632	novaseq2
LID_101633	LID_101633	novaseq2
LID_101634	LID_101634	novaseq2
LID_101635	LID_101635	novaseq2
LID_101636	LID_101636	novaseq2
LID_101637	LID_101637	novaseq2
LID_101638	LID_101638	novaseq2
LID_101639	LID_101639	novaseq2
LID_101640	LID_101640	novaseq2
LID_101641	LID_101641	novaseq2
LID_101642	LID_101642	novaseq2
LID_101643	LID_101643	novaseq2
LID_101644	LID_101644	novaseq2
LID_101645	LID_101645	novaseq2
LID_101646	LID_101646	novaseq2
LID_101647	LID_101647	novaseq2
LID_101648	LID_101648	novaseq2
LID_101649	LID_101649	novaseq2
LID_101650	LID_101650	novaseq2
LID_101651	LID_101651	novaseq2
LID_101652	LID_101652	novaseq2
LID_101653	LID_101653	novaseq2
LID_101654	LID_101654	novaseq2
LID_101655	LID_101655	novaseq2
LID_101656	LID_101656	novaseq2
LID_101657	LID_101657	novaseq2
